epoch,train_loss,val_loss,val_acc,best_acc,lr
1,1.920968663067288,1.7814662086486817,39.58,39.58,0.0002997040092642407
2,1.7296393711513942,1.6698811222076415,45.540000000000006,45.540000000000006,0.0002988172051971717
3,1.6280696938832602,1.6094665340423584,48.480000000000004,48.480000000000004,0.0002973430876093033
4,1.5655956598493788,1.498888843536377,52.800000000000004,52.800000000000004,0.00029528747416929463
5,1.5225726041581895,1.4379856660842896,55.76,55.76,0.00029265847744427303
6,1.4942123526255289,1.4213645387649536,57.099999999999994,57.099999999999994,0.0002894664728832377
7,1.4626761237462362,1.4136520532608032,57.14,57.14,0.000285724057869903
8,1.439164603720771,1.3944774740219117,58.26,58.26,0.00028144600200657956
9,1.4126981365627713,1.3819702239990235,59.38,59.38,0.0002766491888253023
10,1.395231416490343,1.3725953838348388,59.5,59.5,0.00027135254915624217
11,1.3641245671802096,1.3230587526321411,62.44,62.44,0.0002655769864163684
12,1.346793507915073,1.297263067817688,63.46000000000001,63.46000000000001,0.0002593452941132117
13,1.3269619940227932,1.2992970604896545,63.38,63.46000000000001,0.0002526820658893033
14,1.305787799580892,1.273443745803833,65.08,65.08,0.0002456135984623034
15,1.2832351189507378,1.224957799243927,66.97999999999999,66.97999999999999,0.00023816778784387096
16,1.2656295774671766,1.2300659372329712,66.7,66.97999999999999,0.00023037401924684944
17,1.2469868836720785,1.1951181568145752,68.0,68.0,0.00022226305111525726
18,1.2231364177915784,1.2025971378326417,67.52,68.0,0.00021386689373476087
19,1.2053189092848036,1.1740777956008912,69.94,69.94,0.00020521868290270169
20,1.18968670686086,1.1733987028121948,68.97999999999999,69.94,0.00019635254915624208
21,1.1684372268040975,1.1877734807014466,69.0,69.94,0.00018730348307472816
22,1.1517829485151503,1.1657913103103639,69.67999999999999,69.94,0.00017810719718785867
23,1.1412909942626952,1.1555400890350342,70.6,70.6,0.00016879998503464564
24,1.122490004242791,1.1285364431381226,71.22,71.22,0.000159418577929397
25,1.102777002673679,1.1096898371696473,72.24000000000001,72.24000000000001,0.00015
26,1.0921614111794367,1.0978123419761658,73.16,73.16,0.000140581422070603
27,1.076483409775628,1.0878717672348022,73.22,73.22,0.00013120001496535436
28,1.0655766790390016,1.090868525314331,73.02,73.22,0.0001218928028121413
29,1.0510708757612441,1.08759672164917,73.5,73.5,0.00011269651692527177
30,1.0410805753495957,1.0727485913276673,74.52,74.52,0.00010364745084375793
31,1.032501252492269,1.0713126489639282,74.48,74.52,9.478131709729836e-05
32,1.018428132947286,1.0641975513458253,74.32,74.52,8.61331062652391e-05
33,1.0059199476242064,1.0436329254150392,75.58,75.58,7.773694888474269e-05
34,0.9972256169848972,1.0420423763275146,75.7,75.7,6.962598075315047e-05
35,0.9854487414677938,1.05415510597229,75.58,75.7,6.183221215612905e-05
36,0.9775346973101298,1.0511240133285522,75.48,75.7,5.438640153769654e-05
37,0.9681972774505615,1.0395208988189697,76.06,76.06,4.73179341106967e-05
38,0.9584033974117703,1.0238333765029908,76.8,76.8,4.0654705886788306e-05
39,0.9479619924121433,1.0348096529006958,76.14,76.8,3.4423013583631635e-05
40,0.9437562268045213,1.041137952232361,76.38000000000001,76.8,2.86474508437579e-05
41,0.9374411323759291,1.0283527893066406,76.92,76.92,2.3350811174697774e-05
42,0.9285780366897582,1.0275739547729492,77.24,77.24,1.8553997993420465e-05
43,0.9244796168433296,1.0282220113754272,77.03999999999999,77.24,1.42759421300971e-05
44,0.9154201475461324,1.0252630180358886,77.03999999999999,77.24,1.05335271167623e-05
45,0.9150497220993042,1.0277503593444823,77.06,77.24,7.341522555726972e-06
46,0.911174841562907,1.024785619354248,76.96,77.24,4.712525830705356e-06
47,0.9110096490012275,1.0274513732910155,76.62,77.24,2.656912390696692e-06
48,0.9061256538073221,1.023770191192627,76.78,77.24,1.1827948028283352e-06
49,0.9075527896033393,1.0229283868789674,76.82,77.24,2.9599073575926616e-07
50,0.9078190913730197,1.0238574897766113,76.74,77.24,0.0
